,fields
19258,h3610m
3493,h3610y
245,h36a
18268,h36b
20575,h36c
10065,h36d
18199,h36e
2962,h36f
10209,h37
11146,h37a
5912,h37aa
4472,h37ab
18074,h37b
495,h37c
20352,h37d
17044,h37da
11847,h37e
11342,h37f
2163,h37g
17656,h37h
8676,h37i
10428,h37j
19912,h37k
14288,h37l
12631,h37m
11016,h37n
19526,h37o
8565,h37p
14741,h37q
17093,h37r
4036,h37x
3485,h37y
280,h37z
17725,h38
13844,h38a
9758,h39
9654,h3d
7618,h3m
6436,h3x
14218,h3y
21429,h4
12319,h40
16101,h40d
1795,h40m
19425,h40y
14566,h41a
996,h41b
3799,h42
19119,h43
16759,h44a
11866,h44b
15415,h44c
8832,h45
14314,h46a
5384,h46b
5397,h47
7875,h4d
4771,h4m
19324,h4x
12079,h4y
8604,h5
10543,h50
5517,h50d
5621,h50m
13858,h50y
9252,h51
12011,h51d
8120,h51m
15154,h51y
3520,h52
1666,h52d
17954,h52m
2627,h52y
9890,h53
15138,h53d
15387,h53m
2409,h53y
6316,h54
19823,h54d
21748,h54m
21523,h54y
5961,h55
19668,h55d
4849,h55m
10909,h55y
13758,h56
6066,h56d
7780,h56m
13831,h56y
2310,h57
17834,h57d
2594,h57m
16143,h57y
13275,h58
4447,h58d
6884,h58m
6993,h58y
7366,h59
991,h59d
18828,h59m
16320,h59y
2321,h5d
15475,h5m
16294,h5x
12526,h5y
12699,h6
3629,h60
18398,h60d
2841,h60m
9659,h60y
14892,h61
11263,h61d
21401,h61m
6437,h61y
5321,h62
2337,h62d
8612,h62m
7330,h62y
823,h63
8324,h63d
12250,h63m
18816,h63y
377,h64
13306,h64d
16302,h64m
632,h64y
17473,h65
16654,h65d
720,h65m
3807,h65y
2549,h66
4926,h66d
1584,h66m
17990,h66y
13026,h6d
16435,h6m
16977,h6x
13884,h6y
10792,h7
14842,h7d
17522,h7m
20245,h7x
10693,h7y
13684,h8
5015,h80a
5869,h80b
453,h80c
18771,h80d
10100,h80e
8331,h80f
18175,h80g
3721,h8d
9178,h8m
16107,h8x
18698,h8y
695,h9
19778,h9a
15546,h9ad
12034,h9am
20834,h9ay
10173,h9d
8623,h9m
10696,h9x
1363,h9y
19039,hb
13604,hb0x
21029,hb1
17742,hb1d
8213,hb1m
7275,hb1x
3349,hb1y
20066,hb2
11906,hb2d
20444,hb2m
9827,hb2x
12461,hb2y
1111,hb3
6894,hb3d
1973,hb3m
9185,hb3x
5315,hb3y
10453,hbd
21532,hbm
14467,hby
17059,he1
14157,he1d
14065,he1m
4501,he1y
21299,he2
10278,he2d
9852,he2m
8964,he2y
8211,he3
12059,he3d
13303,he3m
7783,he3y
16157,hep1
6907,hep1d
16422,hep1m
21044,hep1y
20421,hep2
14031,hep2d
16174,hep2m
21610,hep2y
6435,hep3
17234,hep3d
19007,hep3m
21533,hep3y
21056,hi1
9343,hi1d
8702,hi1m
8271,hi1y
11010,hi2
18655,hi2d
17626,hi2m
6735,hi2y
11416,hi3
13632,hi3d
10300,hi3m
19020,hi3y
16653,hib1
8738,hib1d
496,hib1m
16632,hib1x
2687,hib1y
9064,hib2
9161,hib2d
4340,hib2m
18482,hib2x
14904,hib2y
6935,hib3
18408,hib3d
17201,hib3m
11604,hib3x
108,hib3y
7322,hidx
19585,hidxa
20500,hp1
3116,hp1d
4030,hp1m
10261,hp1y
20312,hp2
15354,hp2d
15395,hp2m
8910,hp2y
4139,hp3
16034,hp3d
3663,hp3m
10852,hp3y
14462,hw1
9148,hw10
13877,hw11
11811,hw12
13862,hw13
1065,hw14
14150,hw15
13080,hw16
15893,hw17
21802,hw18
8427,hw19
18967,hw2
3408,hw20
15421,hw21
4959,hw22
14395,hw23
19293,hw24
18500,hw25
13664,hw26
4847,hw3
12645,hw4
5298,hw5
8348,hw51
3087,hw52
1048,hw53
11941,hw55
14636,hw56
9771,hw57
4436,hw58
20569,hw6
14699,hw7
13298,hw70
2110,hw71
21061,hw72
18137,hw73
18423,hw8
20161,hw9
9502,hwidx
17869,idx92
18368,idx93
7795,idx94
19669,idx94_1
1681,idx94_2
19719,idx94_3
20297,idx94_4
2937,idx94_5
11701,idx94_6
10747,idx95
13323,idx96
13689,idx97
11721,idx98
7512,idx99_01
7980,idx99_02
6191,idx99_03
7598,idx99_04
13849,idx99_05
14094,idx99_06
9471,idx99_07
11718,idx99_08
4459,idx99_09
13680,idx99_10
2326,idx99_11
4243,idx99_12
4896,idx99_13
5125,idx99_14
6229,idx99_15
20571,idx99_16
